"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CXCR3.3",2.41724361376148e-100,0.51849803748429,0.573,0.47,4.83448722752296e-97,"4","CXCR3"
"GNLY.4",4.14255178463898e-99,-1.76667568521451,0.075,0.189,8.28510356927796e-96,"4","GNLY"
"CCDC50.3",9.14954952516754e-99,-2.7604415787342,0.014,0.103,1.82990990503351e-95,"4","CCDC50"
"SPART.4",1.90677917719959e-98,-2.13379459761813,0.027,0.122,3.81355835439919e-95,"4","SPART"
"CHI3L2.4",7.7540536519104e-98,1.2699515927071,0.218,0.128,1.55081073038208e-94,"4","CHI3L2"
"JAML.4",6.08783242797337e-97,-0.660338193259027,0.251,0.418,1.21756648559467e-93,"4","JAML"
"TTC39C.3",9.0571550417307e-96,-0.684747097433424,0.376,0.541,1.81143100834614e-92,"4","TTC39C"
"CD9.4",4.82130309271573e-95,-2.01983973083663,0.026,0.12,9.64260618543147e-92,"4","CD9"
"C12orf75.3",2.58150887361358e-93,0.742291673842864,0.395,0.29,5.16301774722717e-90,"4","C12orf75"
"DUSP16.3",1.02519477929874e-92,-1.64461709786389,0.039,0.138,2.05038955859747e-89,"4","DUSP16"
"NUCB2.4",1.53484860858948e-92,0.713495928918804,0.479,0.396,3.06969721717896e-89,"4","NUCB2"
"TXNIP.3",6.80420902412715e-92,0.327253640665473,0.807,0.739,1.36084180482543e-88,"4","TXNIP"
"TMEM173.4",2.76754610302287e-91,-0.737599494178705,0.191,0.339,5.53509220604574e-88,"4","TMEM173"
"PDE3B.4",3.59141053956936e-91,-0.844659280464947,0.134,0.27,7.18282107913872e-88,"4","PDE3B"
"CHD7.1",1.94541044628656e-89,-2.07229609270494,0.023,0.11,3.89082089257313e-86,"4","CHD7"
"PRMT9.4",5.15343420573411e-89,-0.741349621974578,0.182,0.326,1.03068684114682e-85,"4","PRMT9"
"CORO1B.3",6.55372314855169e-89,-0.648439970289174,0.337,0.5,1.31074462971034e-85,"4","CORO1B"
"NAP1L1.4",1.39596939141275e-88,-0.445381998581619,0.445,0.618,2.79193878282549e-85,"4","NAP1L1"
"LGALS3BP.4",3.086946648683e-87,-1.54908978278985,0.047,0.144,6.17389329736601e-84,"4","LGALS3BP"
"AC068775.1.2",8.81692536288483e-87,-2.51007616717005,0.018,0.1,1.76338507257697e-83,"4","AC068775.1"
"UBXN11.3",1.56182251631542e-86,-0.957023378670426,0.1,0.219,3.12364503263085e-83,"4","UBXN11"
"CD8B2.2",1.63344098143713e-85,1.54884925947228,0.121,0.057,3.26688196287427e-82,"4","CD8B2"
"CEBPD.4",1.63750608778084e-85,-1.69240253184462,0.078,0.184,3.27501217556168e-82,"4","CEBPD"
"CYTOR.4",2.48431619924038e-85,0.426693494799751,0.598,0.499,4.96863239848076e-82,"4","CYTOR"
"FKBP5.4",3.45384528083318e-85,-0.820175222527229,0.166,0.302,6.90769056166636e-82,"4","FKBP5"
"PELI1.4",3.67498195605465e-84,-1.19765257959958,0.069,0.176,7.34996391210931e-81,"4","PELI1"
"CREM.4",1.37201935942741e-83,-0.532208609123879,0.359,0.523,2.74403871885482e-80,"4","CREM"
"SESN1.2",5.54151333356884e-83,-0.966235215626301,0.12,0.241,1.10830266671377e-79,"4","SESN1"
"LAT2.4",5.58608719356232e-83,-2.35694250417118,0.021,0.101,1.11721743871246e-79,"4","LAT2"
"GEM.4",7.97156461970416e-83,-1.90262397757954,0.022,0.104,1.59431292394083e-79,"4","GEM"
"GPR183.4",7.69697966698224e-82,-0.673656962184176,0.366,0.503,1.53939593339645e-78,"4","GPR183"
"ANP32B.3",1.40276106414258e-80,-0.401627009107994,0.611,0.751,2.80552212828515e-77,"4","ANP32B"
"HAVCR2.4",3.56143629467573e-78,-1.31473160729384,0.049,0.142,7.12287258935145e-75,"4","HAVCR2"
"TRIB2.4",1.31026510716223e-77,-0.8188509607421,0.128,0.25,2.62053021432446e-74,"4","TRIB2"
"LEF1.4",1.89192569538824e-77,-1.14820221123991,0.093,0.198,3.78385139077648e-74,"4","LEF1"
"PDCL3.3",2.71173251113805e-77,-0.542567316705639,0.212,0.359,5.4234650222761e-74,"4","PDCL3"
"ABCB1.4",5.89800917108837e-77,-0.98068479544307,0.083,0.188,1.17960183421767e-73,"4","ABCB1"
"HOXB2.3",9.96771440647675e-77,-0.796592561330636,0.114,0.231,1.99354288129535e-73,"4","HOXB2"
