,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
CD3G,0,0.388855977,0.785,0.672,0,0,CD3G
LAT,0,0.374689032,0.73,0.617,0,0,LAT
LIME1,0,0.707565305,0.363,0.25,0,0,LIME1
TRG-AS1,0,0.48904103,0.349,0.237,0,0,TRG-AS1
FYN,0,0.305855868,0.653,0.542,0,0,FYN
CCR6,0,-1.822739938,0.066,0.177,0,0,CCR6
PYCARD,0,0.573683932,0.41,0.299,0,0,PYCARD
PLA2G16,0,0.728891102,0.278,0.168,0,0,PLA2G16
CD248,0,1.958040949,0.15,0.04,0,0,CD248
ANXA2,0,0.486798943,0.456,0.347,0,0,ANXA2
DRAP1,0,0.38634378,0.719,0.61,0,0,DRAP1
PTMS,0,0.681889893,0.3,0.191,0,0,PTMS
LTB,0,-1.038059943,0.494,0.602,0,0,LTB
TESC,0,0.956383254,0.235,0.127,0,0,TESC
TAP1,0,0.412284374,0.571,0.463,0,0,TAP1
GLIPR2,0,0.590601086,0.391,0.284,0,0,GLIPR2
FBLN7,0,-3.323695163,0.018,0.125,0,0,FBLN7
AC116366.3,0,0.62264727,0.374,0.267,0,0,AC116366.3
CD74,0,0.768392581,0.888,0.781,0,0,CD74
CTSB,0,-0.88455244,0.194,0.301,0,0,CTSB
CKLF,0,0.367769312,0.683,0.577,0,0,CKLF
BIN1,0,0.480271338,0.518,0.412,0,0,BIN1
REEP5,0,0.428126624,0.558,0.452,0,0,REEP5
FABP5,0,0.275388557,0.275,0.169,0,0,FABP5
KIR2DL4,0,-2.043255322,0.056,0.162,0,0,KIR2DL4
IFI27L2,0,0.473922991,0.442,0.336,0,0,IFI27L2
ARRB2,0,0.473125969,0.488,0.382,0,0,ARRB2
ICAM2,0,-0.903571118,0.155,0.259,0,0,ICAM2
HLA-DQA1,0,1.426707008,0.163,0.06,0,0,HLA-DQA1
CAP1,0,0.388111772,0.718,0.615,0,0,CAP1
FCRL6,0,1.531826363,0.16,0.058,0,0,FCRL6
CLIC1,0,0.434544642,0.907,0.805,0,0,CLIC1
SASH3,0,0.406962468,0.583,0.482,0,0,SASH3
PSMB10,0,0.383652356,0.68,0.58,0,0,PSMB10
ADI1,0,-0.975704074,0.128,0.228,0,0,ADI1
PPP1CA,0,0.304032145,0.75,0.65,0,0,PPP1CA
PSMB8,0,0.341819509,0.683,0.584,0,0,PSMB8
SH2D1A,0,0.724401866,0.342,0.244,0,0,SH2D1A
GUK1,0,0.29216818,0.782,0.685,0,0,GUK1
