"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TMEM107.5",3.39094028370618e-14,0.576936071441256,0.251,0.144,6.78188056741236e-11,"9","TMEM107"
"GSTM2.6",3.72104050970283e-14,0.404648291403376,0.199,0.106,7.44208101940566e-11,"9","GSTM2"
"ABI3.9",3.73758990163776e-14,-0.653818064888998,0.445,0.542,7.47517980327553e-11,"9","ABI3"
"CRTAM.9",4.69924050973685e-14,-2.87811550679774,0.04,0.129,9.39848101947370e-11,"9","CRTAM"
"CITED2.7",5.31459520429567e-14,-0.756098427538607,0.575,0.637,1.06291904085913e-10,"9","CITED2"
"KLRK1.9",1.24727572214197e-13,-2.3080387321405,0.033,0.119,2.49455144428393e-10,"9","KLRK1"
"ARRDC3.3",1.59454595909312e-13,0.743233452068739,0.18,0.096,3.18909191818625e-10,"9","ARRDC3"
"TNFRSF4.6",2.65113267019408e-13,-1.60789394739852,0.115,0.217,5.30226534038816e-10,"9","TNFRSF4"
"DPP4.9",2.69963448114665e-13,-2.069999310411,0.045,0.133,5.39926896229329e-10,"9","DPP4"
"PTGDR.7",2.8179697308916e-13,-2.8331926001258,0.024,0.104,5.63593946178321e-10,"9","PTGDR"
"ADD3.7",2.91657006954999e-13,-0.701860323299635,0.229,0.34,5.83314013909997e-10,"9","ADD3"
"SUB1.9",3.24092112808029e-13,-0.264092184081923,0.799,0.854,6.48184225616058e-10,"9","SUB1"
"HOXB2.6",3.7153369223636e-13,-1.41482348848314,0.123,0.223,7.43067384472719e-10,"9","HOXB2"
"MAP3K8.7",4.01924469672637e-13,-1.09955711856013,0.346,0.417,8.03848939345274e-10,"9","MAP3K8"
"H2AFV.7",5.44723414233467e-13,-0.528982648156221,0.606,0.636,1.08944682846693e-09,"9","H2AFV"
"IKZF2.8",6.40312176682561e-13,-2.23956383862612,0.036,0.119,1.28062435336512e-09,"9","IKZF2"
"TIMM10.6",7.51050755874354e-13,0.405226612227192,0.342,0.211,1.50210151174871e-09,"9","TIMM10"
"TNFSF8.7",1.25200384537914e-12,-1.8271054552038,0.069,0.159,2.50400769075828e-09,"9","TNFSF8"
"TRAV8-2.6",1.69587072212532e-12,-1.87761390623938,0.041,0.125,3.39174144425063e-09,"9","TRAV8-2"
"HDGF.9",1.85585937668823e-12,0.535071420283299,0.246,0.145,3.71171875337646e-09,"9","HDGF"
"APOBEC3H.8",1.98673864407473e-12,-1.99961103213066,0.025,0.102,3.97347728814945e-09,"9","APOBEC3H"
"TNIP3.9",2.00290999214189e-12,-2.44405453940212,0.042,0.124,4.00581998428378e-09,"9","TNIP3"
"TMSB10.7",2.34960558296167e-12,0.29325819871053,0.993,0.994,4.69921116592334e-09,"9","TMSB10"
"LMO4.7",2.37965484421546e-12,0.307271088886543,0.361,0.226,4.75930968843092e-09,"9","LMO4"
"CALR.8",2.80140209495367e-12,0.431318449069699,0.827,0.765,5.60280418990734e-09,"9","CALR"
"JAKMIP1.8",3.04022499779131e-12,-1.92104381846349,0.038,0.12,6.08044999558262e-09,"9","JAKMIP1"
"MARCKSL1.7",3.08772247213046e-12,1.40317525436744,0.296,0.2,6.17544494426092e-09,"9","MARCKSL1"
"PDIA6.6",3.29599907310959e-12,0.411988010731113,0.707,0.58,6.59199814621917e-09,"9","PDIA6"
"CRELD2.4",3.49512802432618e-12,0.446669503056127,0.379,0.248,6.99025604865237e-09,"9","CRELD2"
"MYL6B.9",3.75018206311061e-12,0.549534873033829,0.199,0.112,7.50036412622122e-09,"9","MYL6B"
"SNX10.6",3.93169969367948e-12,0.807750749836026,0.263,0.168,7.86339938735895e-09,"9","SNX10"
"BAX.7",4.38542050599762e-12,-0.669911899152247,0.55,0.576,8.77084101199523e-09,"9","BAX"
"ZC3H12A.5",4.80652320593922e-12,-1.75261241710039,0.125,0.215,9.61304641187844e-09,"9","ZC3H12A"
"MANF.5",5.62070336952059e-12,0.518565265156997,0.432,0.3,1.12414067390412e-08,"9","MANF"
"DNPH1.7",6.32681143179337e-12,0.323379695471281,0.523,0.366,1.26536228635867e-08,"9","DNPH1"
"TSPYL2.8",6.84292570226925e-12,-0.917258040992745,0.205,0.301,1.36858514045385e-08,"9","TSPYL2"
"ATP5F1B.6",7.71836529593316e-12,-0.277939116874167,0.75,0.786,1.54367305918663e-08,"9","ATP5F1B"
"HMGA1.6",8.56780764546207e-12,-0.641660211537861,0.375,0.446,1.71356152909241e-08,"9","HMGA1"
"ANTXR2.5",1.02159561428001e-11,0.523136083873057,0.199,0.114,2.04319122856003e-08,"9","ANTXR2"
"SLBP.5",1.1259502769892e-11,-0.893193394659161,0.316,0.385,2.2519005539784e-08,"9","SLBP"
"FCRL6.9",1.12628767483161e-11,-2.55768840633826,0.029,0.103,2.25257534966322e-08,"9","FCRL6"
"NBPF26.3",1.31175697874191e-11,0.567407741252602,0.275,0.172,2.62351395748381e-08,"9","NBPF26"
"DUSP16.8",1.41954500675464e-11,-2.07838918951968,0.052,0.132,2.83909001350928e-08,"9","DUSP16"
"NR4A3.5",1.46192163129098e-11,-1.02710194903523,0.182,0.28,2.92384326258196e-08,"9","NR4A3"
"TP53INP1.8",1.69551962115645e-11,0.535570300085928,0.193,0.11,3.3910392423129e-08,"9","TP53INP1"
"HIST1H1D.5",1.97031041415521e-11,-1.56593234363101,0.089,0.177,3.94062082831043e-08,"9","HIST1H1D"
"STAT1.5",2.17566643878226e-11,-0.773615199775799,0.453,0.515,4.35133287756452e-08,"9","STAT1"
"TRBV20-1.3",2.78320663469566e-11,-2.41568131375423,0.028,0.1,5.56641326939133e-08,"9","TRBV20-1"
"NDFIP2.9",3.10586879058068e-11,-1.68659699778213,0.1,0.186,6.21173758116136e-08,"9","NDFIP2"
"FABP5.9",3.46616947525728e-11,2.12499920881883,0.31,0.21,6.93233895051456e-08,"9","FABP5"
"PSME2.7",3.53197590832025e-11,-0.176643006775488,0.712,0.781,7.0639518166405e-08,"9","PSME2"
"AREG.8",3.56423468215606e-11,-1.2376735933638,0.139,0.234,7.12846936431212e-08,"9","AREG"
"PVT1.9",3.58922595848546e-11,-2.08634416150956,0.049,0.126,7.17845191697093e-08,"9","PVT1"
"CENPK.9",5.09703349570973e-11,-1.99595997726395,0.042,0.117,1.01940669914195e-07,"9","CENPK"
