"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"DDT.6",4.99886422946801e-19,0.218597565861514,0.352,0.297,1.52420369220709e-14,"13","DDT"
"NIPA2.8",5.29924684511866e-19,0.426512743815104,0.162,0.122,1.61579335554513e-14,"13","NIPA2"
"WNK1.9",5.37070400502353e-19,0.198501742466348,0.33,0.273,1.63758135817172e-14,"13","WNK1"
"GHITM.9",5.53385868198302e-19,0.177952639922853,0.439,0.378,1.68732885072344e-14,"13","GHITM"
"PSMA5.10",5.55204212220839e-19,0.186520624607064,0.446,0.379,1.69287316348256e-14,"13","PSMA5"
"MT1X.8",5.56083760551246e-19,0.244990291165523,0.27,0.218,1.69555499429681e-14,"13","MT1X"
"HNRNPU.7",5.80165312773972e-19,0.17447171861229,0.54,0.476,1.76898205517912e-14,"13","HNRNPU"
"TCF25.8",5.99870971200689e-19,0.21111564329029,0.403,0.342,1.82906657828802e-14,"13","TCF25"
"TRIP12.9",6.30022527684979e-19,0.307169178959548,0.18,0.137,1.92100168916427e-14,"13","TRIP12"
"PTPN6.11",6.6317119328455e-19,-0.449203902679416,0.32,0.369,2.02207528544392e-14,"13","PTPN6"
"C19orf25.9",7.22823444292683e-19,0.284301699729718,0.198,0.153,2.20396096399282e-14,"13","C19orf25"
"MEMO1.3",7.43127501397369e-19,0.372157084393535,0.115,0.08,2.26587006451072e-14,"13","MEMO1"
"FXR1.6",8.03078463285612e-19,0.267706493283995,0.252,0.201,2.44866654240416e-14,"13","FXR1"
"XPC.7",8.06444373188469e-19,0.344108528764398,0.18,0.137,2.45892953828896e-14,"13","XPC"
"RBM4.7",8.55765819284087e-19,0.214214503451906,0.302,0.248,2.60931555957911e-14,"13","RBM4"
"AKAP7.1",8.83419306246865e-19,0.478739559039016,0.112,0.078,2.69363380667732e-14,"13","AKAP7"
"SORL1.13",9.13970685218875e-19,-0.76955754969616,0.093,0.133,2.78678801630087e-14,"13","SORL1"
"CREBRF.8",9.68090881082127e-19,0.26477327660796,0.168,0.126,2.95180590550751e-14,"13","CREBRF"
"WAC-AS1.2",1.00189321840944e-18,0.4716558746715,0.104,0.072,3.05487261225222e-14,"13","WAC-AS1"
"RPS27L.10",1.01326662051381e-18,0.120923272067107,0.522,0.454,3.08955125260864e-14,"13","RPS27L"
"DNMT3A.2",1.04528745188947e-18,0.468458671740727,0.102,0.07,3.18718596955618e-14,"13","DNMT3A"
"RPL31.12",1.09983020088037e-18,0.13710479894335,0.891,0.847,3.35349226550433e-14,"13","RPL31"
"C12orf10.4",1.15107049462611e-18,0.331204821402892,0.178,0.136,3.50972904516448e-14,"13","C12orf10"
"AKR7A2.7",1.3365317526686e-18,0.304805478187294,0.212,0.166,4.07521896706183e-14,"13","AKR7A2"
"LAMTOR3.3",1.3575577843093e-18,0.403271535642506,0.161,0.121,4.13932944013749e-14,"13","LAMTOR3"
"ZNF83.1",1.40386768715266e-18,0.39062692194536,0.103,0.071,4.28053296489717e-14,"13","ZNF83"
"SPNS1.2",1.45090810868801e-18,0.40389178951361,0.133,0.097,4.42396391420062e-14,"13","SPNS1"
"ELAVL1.7",1.45200223568386e-18,0.300513630910082,0.241,0.193,4.42730001682367e-14,"13","ELAVL1"
"RPL26L1.7",1.51581460358602e-18,0.386579540931955,0.139,0.102,4.62187030779415e-14,"13","RPL26L1"
"FTH1.11",1.57348804103506e-18,-0.32871252915391,0.973,0.959,4.79772238591999e-14,"13","FTH1"
"WTAP.5",1.57845903704419e-18,0.212835159986869,0.349,0.294,4.81287944985144e-14,"13","WTAP"
"CDKN1B.12",1.58561152392576e-18,0.170161800258664,0.457,0.393,4.83468809760202e-14,"13","CDKN1B"
"CYTOR.12",1.64378947178702e-18,-0.496974224664668,0.195,0.244,5.01207847842579e-14,"13","CYTOR"
"SERBP1.9",1.68603439548452e-18,0.161095835219801,0.561,0.49,5.14088747527185e-14,"13","SERBP1"
"RUNX1.11",1.85371184398793e-18,0.320852974222422,0.152,0.112,5.65215278350358e-14,"13","RUNX1"
"DUSP4.13",2.1554841414383e-18,0.455740154769677,0.258,0.21,6.57228669565951e-14,"13","DUSP4"
"GIMAP1.11",2.18477922765678e-18,-0.409273892904083,0.243,0.293,6.66161034304828e-14,"13","GIMAP1"
"SRSF4.6",2.67336620590122e-18,0.207895255301426,0.348,0.292,8.1513608984134e-14,"13","SRSF4"
"BRMS1.10",2.7172898911598e-18,0.295361498955778,0.209,0.164,8.28528860713535e-14,"13","BRMS1"
"XIST.8",2.92225641233778e-18,0.214654699787483,0.158,0.117,8.91025202685911e-14,"13","XIST"
"UBA52.7",3.36332174951181e-18,0.100501207895927,0.944,0.904,1.02551043464364e-13,"13","UBA52"
"ATXN1.9",3.41674216009375e-18,0.252367984148232,0.178,0.136,1.04179885203418e-13,"13","ATXN1"
"CAMTA1.5",3.47524273902778e-18,0.226330446332605,0.222,0.175,1.05963626355696e-13,"13","CAMTA1"
"MRPL52.6",3.61912265188502e-18,0.186458473985661,0.345,0.288,1.10350668778626e-13,"13","MRPL52"
"SYNCRIP.5",3.85302558309237e-18,0.226159878263554,0.256,0.207,1.1748260305407e-13,"13","SYNCRIP"
"MOSPD3.9",3.8930485303097e-18,-0.745985075936797,0.098,0.138,1.18702942737673e-13,"13","MOSPD3"
"DDIT4.13",3.90027725682239e-18,0.243612056168823,0.566,0.515,1.18923353837772e-13,"13","DDIT4"
"UBXN11.11",3.90728753692372e-18,-0.812612672221374,0.081,0.12,1.19137104288341e-13,"13","UBXN11"
"GMIP.8",3.95342360269017e-18,0.277592807114499,0.187,0.144,1.20543839069626e-13,"13","GMIP"
"UQCRB.8",3.95996085452296e-18,0.129991089551665,0.783,0.721,1.2074316641526e-13,"13","UQCRB"
"ATP6AP2.7",4.02615269045057e-18,0.240315358724565,0.342,0.289,1.22761421684528e-13,"13","ATP6AP2"
"WIPI2.5",4.35804530132105e-18,0.325325889692743,0.174,0.133,1.3288115928258e-13,"13","WIPI2"
"IKBKB.2",4.39523675059879e-18,0.330860673990513,0.13,0.094,1.34015163762508e-13,"13","IKBKB"
"ARL3.7",4.47897649658004e-18,0.474791666141883,0.132,0.096,1.36568472357222e-13,"13","ARL3"
"NDRG3.6",4.53447090109968e-18,0.379620336880722,0.15,0.113,1.3826055224543e-13,"13","NDRG3"
"TPD52L2.5",4.86297820866803e-18,0.44722640882141,0.14,0.103,1.48277068560497e-13,"13","TPD52L2"
"COX5A.10",4.91730319120952e-18,0.120799443791074,0.527,0.458,1.4993349160317e-13,"13","COX5A"
"TM2D2.2",5.13454635851655e-18,0.497063603652595,0.103,0.072,1.56557453017528e-13,"13","TM2D2"
"CDK16.1",5.51375630370358e-18,0.492169575518767,0.109,0.077,1.68119943456226e-13,"13","CDK16"
"GCHFR.7",5.79812110518412e-18,0.164352328418756,0.199,0.153,1.76790510618169e-13,"13","GCHFR"
"PTOV1.5",5.81829889010851e-18,0.277216881105762,0.189,0.146,1.77405751458298e-13,"13","PTOV1"
"ARL5A.6",5.84548611758175e-18,0.265510477709848,0.243,0.195,1.78234717211185e-13,"13","ARL5A"
"DYNLRB1.11",6.05156618794676e-18,0.176900757948793,0.412,0.354,1.84518304636685e-13,"13","DYNLRB1"
"HSPA4.8",6.0908944851771e-18,0.286633194760714,0.203,0.159,1.85717463747535e-13,"13","HSPA4"
"CAAP1.3",6.26920043533192e-18,0.424929458559895,0.122,0.088,1.91154190473705e-13,"13","CAAP1"
"PSMC2.9",6.47565190566393e-18,0.341944567885652,0.198,0.155,1.97449102255599e-13,"13","PSMC2"
"DLG1",6.66597240139174e-18,0.404437567145156,0.102,0.071,2.03252164490836e-13,"13","DLG1"
"TP53BP1.2",6.8153627489276e-18,0.431923542185026,0.11,0.077,2.07807225577551e-13,"13","TP53BP1"
"CYTIP.6",7.18907568752714e-18,-0.255643290882167,0.587,0.605,2.1920210678839e-13,"13","CYTIP"
"OAT.8",7.44392873593262e-18,-0.754406862524952,0.078,0.116,2.26972831087321e-13,"13","OAT"
