"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GNLY.7",0,1.95129897246157,0.533,0.166,0,"7","GNLY"
"GZMH.7",0,1.03866209094883,0.469,0.178,0,"7","GZMH"
"IL7R.7",0,-2.64249278048319,0.406,0.696,0,"7","IL7R"
"GZMA.7",2.03260734348713e-305,0.95380065377388,0.807,0.489,4.06521468697427e-302,"7","GZMA"
"LTB.7",2.21604212346587e-259,-1.2661668934476,0.527,0.732,4.43208424693174e-256,"7","LTB"
"NKG7.7",4.44702734496788e-254,0.67071109420311,0.85,0.543,8.89405468993576e-251,"7","NKG7"
"PRF1.6",1.37128357165992e-201,0.679632777865752,0.819,0.482,2.74256714331984e-198,"7","PRF1"
"TBX21.7",7.72876964181442e-152,0.284862805757306,0.492,0.222,1.54575392836288e-148,"7","TBX21"
"CD8B.6",1.57562837874998e-111,0.426226321559349,0.619,0.382,3.15125675749995e-108,"7","CD8B"
"CD8A.7",4.3635012957407e-94,0.447760570542488,0.649,0.436,8.72700259148141e-91,"7","CD8A"
"GZMK.7",9.06747861745548e-81,-0.2952169576919,0.385,0.206,1.8134957234911e-77,"7","GZMK"
"TNFRSF18.7",2.25993908556013e-52,0.347607572641418,0.354,0.219,4.51987817112026e-49,"7","TNFRSF18"
"CD40LG.7",2.94055689057875e-51,-1.15787068105732,0.28,0.373,5.8811137811575e-48,"7","CD40LG"
"CCR7.7",4.76627755521021e-43,-2.2962643137772,0.086,0.17,9.53255511042042e-40,"7","CCR7"
"TIGIT.5",2.77496126891087e-37,-0.255927995177098,0.61,0.383,5.54992253782174e-34,"7","TIGIT"
"IL2RA.1",7.56308583050019e-16,0.131069173438438,0.127,0.082,1.51261716610004e-12,"7","IL2RA"
"CD4.7",6.1953222169018e-13,-0.812253313352383,0.315,0.326,1.23906444338036e-09,"7","CD4"
"FOXP3.2",2.74095070181381e-09,-0.283859401848975,0.109,0.077,5.48190140362762e-06,"7","FOXP3"
"RORA.6",4.46154054154163e-05,-0.252633072836362,0.752,0.528,0.0892308108308327,"7","RORA"
"GZMK.8",1.16704062833869e-231,1.26805571030235,0.723,0.209,2.33408125667738e-228,"8","GZMK"
"LTB.8",3.8539273823615e-124,1.12727810308998,0.951,0.721,7.707854764723e-121,"8","LTB"
"NKG7.8",5.96503227402952e-67,0.425290753497585,0.895,0.553,1.1930064548059e-63,"8","NKG7"
"PRF1.7",1.37080851429555e-62,0.830524700935891,0.752,0.494,2.7416170285911e-59,"8","PRF1"
"RORA.7",2.27580162342031e-50,0.810342466552477,0.744,0.536,4.55160324684062e-47,"8","RORA"
"GZMA.8",3.40871654985013e-47,-0.380525271704821,0.912,0.498,6.81743309970026e-44,"8","GZMA"
"CD8A.8",5.618578472286e-42,0.597327884976292,0.734,0.442,1.1237156944572e-38,"8","CD8A"
"IL7R.8",8.27026029061707e-33,0.362516790194874,0.918,0.681,1.65405205812341e-29,"8","IL7R"
"ICOS.7",5.95153798327375e-28,-1.20954831371473,0.308,0.492,1.19030759665475e-24,"8","ICOS"
"CD4.8",8.4958076357572e-28,-1.40259816766784,0.138,0.327,1.69916152715144e-24,"8","CD4"
"TIGIT.6",5.2555341462082e-27,-1.42884583461666,0.211,0.395,1.05110682924164e-23,"8","TIGIT"
"GZMB.7",1.36636784453919e-21,-0.917067675288294,0.111,0.263,2.73273568907838e-18,"8","GZMB"
"SELL.7",5.3352789293048e-21,-3.03840373082436,0.03,0.153,1.06705578586096e-17,"8","SELL"
"CTLA4.8",1.85633964061183e-18,-1.70473434320863,0.155,0.292,3.71267928122366e-15,"8","CTLA4"
"GZMH.8",6.39361774650628e-16,-2.13572156461414,0.08,0.191,1.27872354930126e-12,"8","GZMH"
"TNFRSF4.7",1.72306578137753e-14,-2.0959084360821,0.109,0.218,3.44613156275506e-11,"8","TNFRSF4"
"IFNG.8",4.87504072816368e-13,-1.13296215944806,0.167,0.283,9.75008145632736e-10,"8","IFNG"
"CD8B.7",4.8410138249414e-09,-1.12205883561924,0.35,0.392,9.68202764988281e-06,"8","CD8B"
"GATA3.7",1.62691483869423e-08,-0.457410549280804,0.39,0.493,3.25382967738847e-05,"8","GATA3"
"GNLY.8",7.24439431909135e-08,-2.74835527224181,0.117,0.183,0.000144887886381827,"8","GNLY"
"CCR7.8",0.00315407836578252,-0.936186476393009,0.132,0.167,1,"8","CCR7"
