"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CD8A",0,1.68600121600434,0.692,0.27,0,"0","CD8A"
"CD8B",0,1.926957641733,0.632,0.234,0,"0","CD8B"
"CCL5",0,0.958304083252376,0.954,0.604,0,"0","CCL5"
"NKG7",0,0.843328915850906,0.782,0.466,0,"0","NKG7"
"GZMA",0,-0.162337055337516,0.662,0.427,0,"0","GZMA"
"LINC02446",0,1.44033791875488,0.373,0.154,0,"0","LINC02446"
"ID3",0,-1.85797875122919,0.089,0.292,0,"0","ID3"
"GZMM",0,1.09939109945078,0.507,0.313,0,"0","GZMM"
"GZMH",0,2.4716412586645,0.25,0.069,0,"0","GZMH"
"CST7",0,0.773695581484852,0.65,0.474,0,"0","CST7"
"S100A4",0,0.533180027350675,0.771,0.602,0,"0","S100A4"
"CD2",0,0.757752454328643,0.74,0.576,0,"0","CD2"
"TNFRSF18",0,-2.32411022946346,0.05,0.213,0,"0","TNFRSF18"
"KIR2DL4",0,-1.74042008479181,0.066,0.217,0,"0","KIR2DL4"
"TRDC",0,-2.35374474355732,0.037,0.183,0,"0","TRDC"
"S100A6",0,0.442063118891703,0.77,0.644,0,"0","S100A6"
"FCER1G",0,-3.26320846638664,0.02,0.146,0,"0","FCER1G"
"ALOX5AP",0,0.733205852584386,0.608,0.485,0,"0","ALOX5AP"
"CD40LG",0,-2.82278511260017,0.024,0.14,0,"0","CD40LG"
"GZMK",0,2.04574953112765,0.177,0.061,0,"0","GZMK"
"TNFRSF4",0,-3.35562631136146,0.021,0.134,0,"0","TNFRSF4"
"PECAM1",0,1.70516633022597,0.184,0.074,0,"0","PECAM1"
"TYROBP",0,-2.6872039778203,0.029,0.136,0,"0","TYROBP"
"CD4",0,-2.78059250476116,0.018,0.12,0,"0","CD4"
"TRDV1",0,-2.40764922374007,0.027,0.125,0,"0","TRDV1"
"LAT2",0,-1.96165966890967,0.027,0.122,0,"0","LAT2"
"CD52",0,0.56828341179727,0.871,0.804,0,"0","CD52"
"SH3BGRL3",0,0.646793611874149,0.955,0.914,0,"0","SH3BGRL3"
"RPS8",0,-0.302479543546086,0.978,0.99,0,"0","RPS8"
"EEF1A1",0,-0.292230052028027,0.989,0.996,0,"0","EEF1A1"
"CD3D",1.47791751061906e-305,0.40790313628664,0.841,0.753,2.95583502123813e-302,"0","CD3D"
"HLA-DPB1",2.76556111767904e-301,0.949283413336601,0.349,0.217,5.53112223535807e-298,"0","HLA-DPB1"
"THEMIS",3.61759619382413e-299,1.17383270796656,0.284,0.159,7.23519238764826e-296,"0","THEMIS"
"CD3E",2.76014316199004e-298,0.333597930258518,0.889,0.842,5.52028632398008e-295,"0","CD3E"
"HCST",4.24557651056622e-289,0.434650840129794,0.775,0.69,8.49115302113244e-286,"0","HCST"
"FKBP11",2.77751492686179e-286,1.00763410133149,0.333,0.206,5.55502985372359e-283,"0","FKBP11"
"TXK",3.91110936566525e-281,-1.78827146787801,0.03,0.117,7.82221873133049e-278,"0","TXK"
"GRAP2",1.39610500802953e-277,1.20112009415186,0.26,0.144,2.79221001605906e-274,"0","GRAP2"
"HLA-DPA1",4.68549274798132e-272,0.791009735577581,0.386,0.257,9.37098549596265e-269,"0","HLA-DPA1"
"EVL",2.00131319983233e-264,0.448986196603328,0.765,0.697,4.00262639966466e-261,"0","EVL"
"PTMA",1.37977240849378e-262,-0.328729349911669,0.949,0.975,2.75954481698757e-259,"0","PTMA"
"CTSW",1.59401349302453e-259,0.675915707247104,0.413,0.276,3.18802698604906e-256,"0","CTSW"
"JAML",4.48030146619614e-253,1.01339358836824,0.297,0.179,8.96060293239228e-250,"0","JAML"
"RARRES3",5.37445241313129e-249,0.488140160489977,0.719,0.646,1.07489048262626e-245,"0","RARRES3"
"ZFP36L1",5.06083112751524e-247,-0.610430144295616,0.505,0.633,1.01216622550305e-243,"0","ZFP36L1"
"KLRD1",1.12020199073397e-243,0.615943374371552,0.432,0.295,2.24040398146794e-240,"0","KLRD1"
"B2M",1.16135767055191e-243,0.192069164553301,0.99,0.989,2.32271534110382e-240,"0","B2M"
"STMN1",1.73549311560541e-240,-2.58852851118703,0.07,0.163,3.47098623121083e-237,"0","STMN1"
"CXCR3",6.34721556979805e-235,0.92542502171587,0.323,0.208,1.26944311395961e-231,"0","CXCR3"
